PROVINCIA,MUNICIPIO,IDMuni,Lon,Lat,Year,Month,pr,rperc,rdec,condicion,rdecmod,rachas,anom,Z,catZ,SPI6,Intense
Ciego de Avila,Ciro Redondo,78,-78.67881,21.98916,2025,8,491.6,63.1,1,2,-3,5,-287,-1.84,3,-2.01,4
Ciego de Avila,Florencia,79,-78.93607,22.08765,2025,8,529.7,64.6,1,2,-3,4,-290.8,-1.55,3,-1.72,4
Ciego de Avila,Ciego de Avila,80,-78.75966,21.8748,2025,8,562.9,71.3,1,2,-3,5,-226.1,-1.53,2,-1.62,4
Ciego de Avila,Bolivia,81,-78.33057,22.08113,2025,8,346.3,50.9,1,2,-3,5,-334.5,-2.38,3,-2.79,4
Ciego de Avila,Morón,82,-78.59053,22.18869,2025,8,448.8,63.7,1,2,-3,5,-255.2,-1.52,3,-1.68,4
Ciego de Avila,Chambas,83,-78.84581,22.24148,2025,8,479.6,69.4,1,2,-3,5,-211.4,-1.23,3,-1.34,3
Ciego de Avila,Baraguá,84,-78.52895,21.7138,2025,8,497.5,64.5,1,2,-3,4,-273.8,-2.22,3,-2.42,4
Ciego de Avila,Venezuela,85,-78.82663,21.71016,2025,8,514.5,65.4,1,2,-3,4,-272.3,-1.94,3,-2.15,4
Camagüey,Najasa,86,-77.76424,21.02745,2025,8,414.4,52,1,2,-3,7,-382.6,-3.74,3,-4.44,4
Camagüey,Carlos Manuel de Céspedes,87,-78.26258,21.67215,2025,8,407.7,52.8,1,2,-3,5,-364.2,-3.1,3,-3.68,4
Camagüey,Sierra de Cubitas,88,-77.76511,21.66721,2025,8,284.8,41.2,1,2,-3,5,-406.5,-3.82,3,-4.9,4
Camagüey,Camagüey,89,-77.92698,21.42742,2025,8,403.6,51.3,1,2,-3,5,-383,-3.89,3,-4.72,4
Camagüey,Sibanicú,90,-77.57215,21.27846,2025,8,436.8,59.8,1,2,-3,4,-294.2,-2.74,3,-3.07,4
Camagüey,Jimaguayú,91,-77.8469,21.23222,2025,8,437.7,55.9,1,2,-3,5,-345.6,-3.63,3,-4.19,4
Camagüey,Guáimaro,92,-77.3291,21.23595,2025,8,390.2,58.9,1,2,-3,4,-272.8,-2.67,3,-3.09,4
Camagüey,Esmeralda,93,-78.00125,21.83886,2025,8,329.7,48.9,1,2,-3,5,-344.1,-2.79,3,-3.32,4
Camagüey,Minas,94,-77.55316,21.56892,2025,8,307.9,47.4,1,2,-3,4,-341.2,-2.72,3,-3.33,4
Camagüey,Florida,95,-78.31729,21.48086,2025,8,536.8,66.8,1,2,-3,5,-267,-2.61,3,-2.85,4
Camagüey,Nuevitas,96,-77.28197,21.62771,2025,8,346.9,58,1,2,-3,5,-251.4,-1.64,3,-1.8,4
Camagüey,Vertientes,97,-78.25844,21.13082,2025,8,574,68.2,1,2,-3,9,-267.9,-2.47,3,-2.69,4
Camagüey,Santa Cruz del Sur,98,-77.99268,20.86095,2025,8,448.1,56.6,1,2,-3,16,-343.5,-3.43,3,-3.94,4
Las Tunas,Majibacoa,99,-76.81634,20.84186,2025,8,461.7,72.9,1,2,-3,4,-171.8,-1.85,2,-1.94,4
Las Tunas,Jesús Menéndez,100,-76.49267,21.12188,2025,8,335.4,65.3,1,2,-3,3,-178.5,-1.74,3,-2.01,4
Las Tunas,Las Tunas,101,-77.03195,20.97599,2025,8,396.2,60.5,1,2,-3,4,-258.3,-2.58,3,-2.99,4
Las Tunas,Jobabo,102,-77.21004,20.86861,2025,8,346.6,51.1,1,2,-3,16,-331.7,-3.28,3,-4.16,4
